Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
New Zealand,NZL,Expense (current LCU),GC.XPN.TOTL.CN,,40610300000,41535431000,45109683000,47042287000,50487166000,53984000000,58448000000,61816000000,66326750000,69609640000,85395410000,76189090000,77036120000,78528700000,80544230000,83383180000,86988430000,90946140000,97201060000,1.19E+11,1.06E+11,1.09E+11,1.12E+11
Peru,PER,Expense (current LCU),GC.XPN.TOTL.CN,33265900000,33300200000,33939500000,36312397000,39622788000,45185305000,49571543010,58003180437,62867331578,67269703737,74280661107,83388533341,91045837874,1.03E+11,1.17E+11,1.24E+11,1.24E+11,1.38E+11,1.45E+11,1.58E+11,1.89E+11,1.81E+11,1.90E+11,2.00E+11
Philippines,PHL,Expense (current LCU),GC.XPN.TOTL.CN,5.81E+11,6.59E+11,7.07E+11,7.69E+11,8.12E+11,9.77E+11,9.55E+11,1.00E+12,1.09E+12,1.22E+12,1.30E+12,1.37E+12,1.50E+12,1.59E+12,1.69E+12,1.88E+12,2.03E+12,2.25E+12,2.60E+12,2.90E+12,3.51E+12,3.15E+12,3.33E+12,3.51E+12
Poland,POL,Expense (current LCU),GC.XPN.TOTL.CN,2.87E+11,3.11E+11,3.23E+11,3.44E+11,3.55E+11,3.67E+11,3.93E+11,4.17E+11,4.62E+11,5.05E+11,5.30E+11,5.45E+11,5.69E+11,5.88E+11,6.00E+11,6.18E+11,6.49E+11,6.84E+11,7.10E+11,7.82E+11,9.61E+11,8.50E+11,8.82E+11,9.13E+11
Portugal,PRT,Expense (current LCU),GC.XPN.TOTL.CN,47838012000,51715828000,54944059000,58165404000,61523337000,65640793000,66694624000,68900339000,72183697000,76618254000,78949535000,77959406000,74383310000,77358825000,82088759000,78635955000,76703128000,81155274000,80235581000,82572022000,89387783000,85004037231,85848223549,86692409868
Romania,ROU,Expense (current LCU),GC.XPN.TOTL.CN,27075900000,37952600000,47175500000,59394400000,75266000000,88151200000,1.07E+11,1.39E+11,1.73E+11,1.83E+11,1.87E+11,1.95E+11,1.98E+11,2.01E+11,2.17E+11,2.36E+11,2.44E+11,2.71E+11,3.14E+11,3.58E+11,4.06E+11,3.65E+11,3.83E+11,4.00E+11
Russian Federation,RUS,Expense (current LCU),GC.XPN.TOTL.CN,1.55E+12,2.04E+12,2.44E+12,3.04E+12,3.67E+12,4.31E+12,5.25E+12,7.65E+12,8.89E+12,1.25E+13,1.27E+13,1.40E+13,1.65E+13,1.80E+13,2.09E+13,2.55E+13,2.66E+13,2.82E+13,3.01E+13,3.25E+13,3.80E+13,3.78E+13,4.01E+13,4.24E+13
Singapore,SGP,Expense (current LCU),GC.XPN.TOTL.CN,26032000000,29232000000,26753000000,27112000000,27983000000,26790000000,30835000000,33130000000,39735000000,40393678000,40587400000,44879000000,45668400000,47629000000,52465900000,67435700000,63661388045,67809000000,74685742747,72715945026,1.24E+11,95827295763,1.01E+11,1.06E+11
El Salvador,SLV,Expense (current LCU),GC.XPN.TOTL.CN,1770100000,2821300000,2561000000,2297100000,2692500000,3009500000,3604700000,3494600000,4092300000,4550600000,4454400000,5048607005,4897900000,5057000000,5144469296,5335315501,5614323795,6205827441,6434200000,6655600000,8459400000,7451135018,7724924163,7998713308
San Marino,SMR,Expense (current LCU),GC.XPN.TOTL.CN,,,436881158,407247391.3,458818372.8,433097403.6,445704201.9,486217116.9,501880824.5,533870739.4,529154889,544546919.8,557688703.9,581845576.6,574857015.6,578726951.2,596776477.9,585848914,621879131,637481521,641586345,649939804.7,660523029.4,671106254.2
Slovak Republic,SVK,Expense (current LCU),GC.XPN.TOTL.CN,16508816000,15037191000,16475680000,16363552000,17148824000,19390708000,20834479000,22019026000,23883702000,26866772000,27157075000,27978599000,28851513000,29875177000,30663121000,32695753000,32909307000,31468714000,33463177000,35985677000,39826069000,38120344462,39152650198,40184955934
Slovenia,SVN,Expense (current LCU),GC.XPN.TOTL.CN,,,9855837000,10672500000,11337646000,12051172000,12563063000,12970393000,14469337000,15436487000,15754679000,16608696000,15717541000,19588517000,16769909000,16724514000,16664266000,16754256000,17344101000,18192303000,21368934000,19376444500,19711611956,20046779412
Sweden,SWE,Expense (current LCU),GC.XPN.TOTL.CN,8.32E+11,8.32E+11,8.74E+11,9.11E+11,9.26E+11,9.70E+11,9.97E+11,1.03E+12,1.08E+12,1.13E+12,1.18E+12,1.20E+12,1.23E+12,1.28E+12,1.32E+12,1.37E+12,1.41E+12,1.46E+12,1.53E+12,1.58E+12,1.75E+12,1.69E+12,1.74E+12,1.79E+12
Thailand,THA,Expense (current LCU),GC.XPN.TOTL.CN,6.85E+11,8.41E+11,1.16E+12,9.38E+11,1.08E+12,1.17E+12,1.27E+12,1.50E+12,1.66E+12,1.78E+12,1.88E+12,2.20E+12,2.30E+12,2.47E+12,2.55E+12,2.57E+12,2.76E+12,2.85E+12,3.01E+12,3.03E+12,3.46E+12,3.45E+12,3.58E+12,3.72E+12
Trinidad and Tobago,TTO,Expense (current LCU),GC.XPN.TOTL.CN,,13125612700,14016400000,15727900000,18920800000,22807000000,34212500000,33570300000,46332000000,40039600000,43366000000,44539800000,49786700000,54175100000,58745600000,57426800000,52663700000,53384300000,50703700000,,,57625570909,58878873636,60132176364
Ukraine,UKR,Expense (current LCU),GC.XPN.TOTL.CN,45701300000,56387800000,65473448056,79438130769,1.14E+11,1.59E+11,2.00E+11,2.52E+11,3.54E+11,3.72E+11,4.43E+11,4.98E+11,5.77E+11,5.89E+11,6.91E+11,7.43E+11,7.99E+11,1.00E+12,1.19E+12,1.31E+12,1.57E+12,1.44E+12,1.53E+12,1.62E+12
